,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.360000014305,0.342857152224,0.341463416815,0.333333343267,35.0,41.0,42.0
1,0.239999994636,0.125,0.111111111939,0.173913046718,16.0,18.0,23.0
2,0.319999992847,0.173913046718,0.193548381329,,23.0,31.0,
3,0.300000011921,0.300000011921,0.322580635548,0.3125,30.0,31.0,32.0
4,0.259999990463,0.0833333358169,0.238095238805,0.227272734046,12.0,21.0,22.0
5,0.280000001192,0.217391297221,0.25,0.21875,23.0,24.0,32.0
6,0.419999986887,,,,,,
7,0.239999994636,,,,,,
8,0.259999990463,0.176470592618,0.157894730568,0.212121218443,17.0,19.0,33.0
9,0.239999994636,0.185185179114,0.178571432829,0.172413796186,27.0,28.0,29.0
10,0.300000011921,0.304347813129,0.28125,0.303030312061,23.0,32.0,33.0
11,0.159999996424,,,,,,
12,0.280000001192,0.230769231915,0.222222223878,0.258064508438,26.0,27.0,31.0
13,0.300000011921,0.305555552244,0.333333343267,0.326086968184,36.0,45.0,46.0
14,0.239999994636,0.238095238805,0.25,0.24137930572,21.0,28.0,29.0
15,0.319999992847,,,,,,
16,0.300000011921,,,,,,
17,0.280000001192,0.142857149243,0.307692319155,0.296296298504,14.0,26.0,27.0
18,0.319999992847,,,,,,
19,0.20000000298,0.15000000596,0.142857149243,0.190476194024,20.0,21.0,42.0
20,0.280000001192,,,,,,
21,0.379999995232,,,,,,
22,0.439999997616,,,,,,
23,0.239999994636,0.235294118524,0.210526317358,0.25,17.0,19.0,28.0
24,0.259999990463,0.263157904148,0.238095238805,0.217391297221,19.0,21.0,23.0
25,0.259999990463,0.185185179114,0.178571432829,0.172413796186,27.0,28.0,29.0
26,0.239999994636,0.0,0.0,0.0,13.0,15.0,17.0
27,0.360000014305,,,,,,
28,0.340000003576,0.25,0.222222223878,0.217391297221,16.0,18.0,23.0
29,0.360000014305,,,,,,
30,0.340000003576,0.370370358229,0.357142865658,0.333333343267,27.0,28.0,30.0
31,0.259999990463,0.289473682642,0.27500000596,0.261904776096,38.0,40.0,42.0
32,0.280000001192,0.270270258188,0.282051295042,,37.0,39.0,
33,0.360000014305,0.324324309826,0.333333343267,,37.0,42.0,
34,0.560000002384,,,,,,
35,0.259999990463,0.190476194024,0.181818187237,0.212121218443,21.0,22.0,33.0
36,0.259999990463,0.133333340287,0.117647059262,0.105263158679,15.0,17.0,19.0
37,0.319999992847,,,,,,
38,0.180000007153,0.176470592618,0.193548381329,0.181818187237,17.0,31.0,33.0
39,0.280000001192,0.346153855324,0.321428567171,0.314285725355,26.0,28.0,35.0
40,0.280000001192,0.260869562626,0.285714298487,0.279069781303,23.0,42.0,43.0
41,0.300000011921,0.291666656733,0.285714298487,,48.0,49.0,
42,0.259999990463,0.142857149243,0.20000000298,0.225806444883,21.0,30.0,31.0
43,0.319999992847,0.379310339689,0.366666674614,0.324324309826,29.0,30.0,37.0
44,0.180000007153,0.117647059262,0.105263158679,0.159999996424,17.0,19.0,25.0
45,0.340000003576,,,,,,
46,0.360000014305,0.367346942425,,,49.0,,
47,0.340000003576,,,,,,
48,0.319999992847,0.235294118524,0.243243247271,0.263157904148,34.0,37.0,38.0
49,0.379999995232,0.333333343267,0.333333343267,0.352941185236,27.0,33.0,34.0
50,0.360000014305,0.142857149243,,,14.0,,
51,0.360000014305,0.333333343267,0.304347813129,,21.0,23.0,
52,0.319999992847,,,,,,
53,0.259999990463,0.1875,0.166666671634,0.157894730568,16.0,18.0,19.0
54,0.340000003576,0.357142865658,,,42.0,,
55,0.180000007153,0.133333340287,0.117647059262,0.136363640428,15.0,17.0,22.0
56,0.239999994636,0.272727280855,0.243243247271,0.236842110753,22.0,37.0,38.0
57,0.259999990463,0.318181812763,0.291666656733,0.275862067938,22.0,24.0,29.0
58,0.419999986887,,,,,,
59,0.379999995232,,,,,,
60,0.40000000596,,,,,,
61,0.239999994636,0.244897961617,,,49.0,,
62,0.300000011921,0.235294118524,0.307692319155,0.296296298504,17.0,26.0,27.0
63,0.259999990463,0.20000000298,,,30.0,,
64,0.300000011921,0.095238097012,0.0909090936184,0.0869565233588,21.0,22.0,23.0
65,0.300000011921,,,,,,
66,0.300000011921,0.222222223878,0.214285716414,0.20000000298,27.0,28.0,30.0
67,0.319999992847,0.263157904148,0.238095238805,,19.0,21.0,
68,0.280000001192,0.125,0.111111111939,0.205882355571,16.0,18.0,34.0
69,0.379999995232,,,,,,
70,0.340000003576,0.239999994636,0.230769231915,0.222222223878,25.0,26.0,27.0
71,0.280000001192,0.285714298487,0.277777791023,0.270270258188,35.0,36.0,37.0
72,0.239999994636,0.285714298487,,,21.0,,
73,0.300000011921,0.214285716414,,,14.0,,
74,0.280000001192,,,,,,
75,0.340000003576,,,,,,
76,0.239999994636,0.275862067938,0.258064508438,0.242424249649,29.0,31.0,33.0
77,0.379999995232,,,,,,
78,0.40000000596,,,,,,
79,0.159999996424,0.138888895512,0.157894730568,0.142857149243,36.0,38.0,42.0
80,0.319999992847,0.15000000596,0.142857149243,0.181818187237,20.0,21.0,22.0
81,0.259999990463,,,,,,
82,0.40000000596,,,,,,
83,0.360000014305,0.214285716414,,,14.0,,
84,0.340000003576,,,,,,
85,0.340000003576,0.382352948189,0.384615391493,0.363636374474,34.0,39.0,44.0
86,0.239999994636,0.280000001192,0.269230782986,0.255319148302,25.0,26.0,47.0
87,0.360000014305,,,,,,
88,0.259999990463,0.185185179114,0.178571432829,0.172413796186,27.0,28.0,29.0
89,0.259999990463,,,,,,
90,0.300000011921,0.136363640428,0.125,,22.0,24.0,
91,0.280000001192,0.255813956261,,,43.0,,
92,0.239999994636,0.285714298487,0.272727280855,0.264705896378,21.0,33.0,34.0
93,0.40000000596,0.419354826212,0.40625,0.39393940568,31.0,32.0,33.0
94,0.419999986887,,,,,,
95,0.259999990463,,,,,,
96,0.239999994636,0.25,0.222222223878,0.214285716414,24.0,27.0,28.0
97,0.300000011921,0.25,,,24.0,,
98,0.20000000298,0.142857149243,0.181818187237,0.206896558404,21.0,22.0,29.0
