,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.27,0.333333333333,0.313725490196,0.301886792453,48.0,51.0,53.0
1,0.32,0.358208955224,0.352941176471,0.347826086957,67.0,68.0,69.0
2,0.36,0.36231884058,0.355263157895,0.353658536585,69.0,76.0,82.0
3,0.26,0.176470588235,0.238095238095,0.217391304348,17.0,21.0,23.0
4,0.24,0.222222222222,0.217391304348,0.224489795918,45.0,46.0,49.0
5,0.26,0.290909090909,0.275862068966,0.295081967213,55.0,58.0,61.0
6,0.25,0.148148148148,0.176470588235,0.171428571429,27.0,34.0,35.0
7,0.28,0.272727272727,0.264705882353,0.275362318841,66.0,68.0,69.0
8,0.35,0.238095238095,0.227272727273,0.269230769231,42.0,44.0,52.0
9,0.29,0.255813953488,0.260869565217,0.255319148936,43.0,46.0,47.0
10,0.36,0.324675324675,0.320512820513,,77.0,78.0,
11,0.28,0.25,0.222222222222,0.214285714286,24.0,27.0,28.0
12,0.28,0.287878787879,0.310810810811,0.303797468354,66.0,74.0,79.0
13,0.25,0.208333333333,0.25641025641,0.25,24.0,39.0,40.0
14,0.36,0.371794871795,0.37037037037,0.364705882353,78.0,81.0,85.0
15,0.3,0.302325581395,0.295454545455,0.276595744681,43.0,44.0,47.0
16,0.3,0.304347826087,0.30985915493,0.306666666667,69.0,71.0,75.0
17,0.28,0.266666666667,0.257142857143,0.25,30.0,35.0,36.0
18,0.36,0.280701754386,0.275862068966,0.351063829787,57.0,58.0,94.0
19,0.36,0.386363636364,0.377777777778,0.36170212766,44.0,45.0,47.0
20,0.32,0.295454545455,0.288888888889,0.276595744681,44.0,45.0,47.0
21,0.33,,,,,,
22,0.29,0.133333333333,0.314285714286,0.282051282051,15.0,35.0,39.0
23,0.3,0.378378378378,0.372093023256,0.363636363636,37.0,43.0,44.0
24,0.35,,,,,,
25,0.35,0.208333333333,0.297297297297,0.289473684211,24.0,37.0,38.0
26,0.3,0.151515151515,0.147058823529,0.142857142857,33.0,34.0,35.0
27,0.36,,,,,,
28,0.23,0.214285714286,0.206896551724,0.212121212121,28.0,29.0,33.0
29,0.31,0.348484848485,0.333333333333,0.328571428571,66.0,69.0,70.0
30,0.3,0.210526315789,0.258064516129,0.25,19.0,31.0,32.0
31,0.21,0.178571428571,0.1875,0.181818181818,28.0,32.0,33.0
32,0.32,0.375,0.355555555556,0.354166666667,40.0,45.0,48.0
33,0.35,0.343434343434,,,99.0,,
34,0.3,0.241379310345,0.266666666667,0.290909090909,29.0,45.0,55.0
35,0.31,0.301886792453,0.309090909091,0.322580645161,53.0,55.0,62.0
36,0.3,0.294117647059,0.315789473684,0.311475409836,51.0,57.0,61.0
37,0.31,0.333333333333,0.326923076923,0.320754716981,36.0,52.0,53.0
