,er,er_80,er_80c,er_90,er_90c,er_95,er_95c,ts_80,ts_80c,ts_90,ts_90c,ts_95,ts_95c
0,0.368421047926,0.222222223878,0.222222223878,0.378378391266,,,,18.0,18.0,37.0,,,
1,0.490196079016,,0.487804889679,,,,,,41.0,,,,
2,0.290322571993,0.318181812763,0.333333343267,0.321428567171,0.304347813129,0.300000011921,0.310344815254,22.0,21.0,28.0,23.0,30.0,29.0
3,0.34375,0.153846159577,0.153846159577,0.346153855324,0.346153855324,0.321428567171,0.321428567171,13.0,13.0,26.0,26.0,28.0,28.0
4,0.636363625526,,,,,,,,,,,,
5,0.490196079016,,,,,,,,,,,,
6,0.181818187237,0.235294118524,0.266666680574,0.210526317358,0.235294118524,0.190476194024,0.222222223878,17.0,15.0,19.0,17.0,21.0,18.0
7,0.25925925374,0.263157904148,0.277777791023,0.291666656733,0.300000011921,0.269230782986,0.291666656733,19.0,18.0,24.0,20.0,26.0,24.0
8,0.239999994636,0.20000000298,0.214285716414,0.210526317358,0.1875,0.25,0.222222223878,15.0,14.0,19.0,16.0,24.0,18.0
9,0.540000021458,,,,,,,,,,,,
10,0.25925925374,0.285714298487,0.285714298487,0.260869562626,0.260869562626,,,21.0,21.0,23.0,23.0,,
11,0.568627476692,,,,,,,,,,,,
12,0.25925925374,0.333333343267,0.291666656733,0.304347813129,0.269230782986,0.280000001192,,21.0,24.0,23.0,26.0,25.0,
13,0.239999994636,0.285714298487,0.315789461136,0.260869562626,0.300000011921,0.25,0.272727280855,21.0,19.0,23.0,20.0,24.0,22.0
14,0.434782594442,0.5,0.454545468092,0.47499999404,0.444444447756,0.454545468092,,38.0,44.0,40.0,45.0,44.0,
15,0.222222223878,0.272727280855,0.266666680574,0.25,0.285714298487,0.230769231915,0.260869562626,22.0,15.0,24.0,21.0,26.0,23.0
16,0.192307695746,0.210526317358,0.235294118524,0.190476194024,0.20000000298,0.20000000298,0.181818187237,19.0,17.0,21.0,20.0,25.0,22.0
17,0.529411792755,,,,,,,,,,,,
18,0.233333334327,0.0625,0.0625,0.25,0.25925925374,,0.25,16.0,16.0,28.0,27.0,,28.0
19,0.369565218687,0.40000000596,0.333333343267,0.380952388048,0.346153855324,0.37209302187,0.333333343267,40.0,21.0,42.0,26.0,43.0,27.0
20,0.382978737354,0.354838699102,0.300000011921,0.409090906382,0.346153855324,0.391304343939,0.357142865658,31.0,20.0,44.0,26.0,46.0,28.0
21,0.20000000298,0.176470592618,0.1875,0.157894730568,0.166666671634,0.208333328366,0.15000000596,17.0,16.0,19.0,18.0,24.0,20.0
