Unnamed: 0,actions,states,trial,ts
35,0,8,1,0
36,0,8,1,1
31,1,7,1,2
32,2,7,1,3
37,0,8,1,4
33,2,7,1,5
38,0,8,1,6
34,0,7,1,7
30,0,6,1,8
28,0,5,1,9
25,0,4,1,10
11,1,3,1,11
12,1,3,1,12
13,1,3,1,13
14,1,3,1,14
15,1,3,1,15
16,1,3,1,16
17,1,3,1,17
18,1,3,1,18
19,0,3,1,19
8,0,2,1,20
4,0,1,1,21
0,2,0,1,22
5,2,1,1,23
20,1,3,1,23
9,0,2,1,24
6,0,1,1,25
1,0,0,1,26
2,0,0,1,27
3,2,0,1,28
7,2,1,1,29
10,2,2,1,30
21,2,3,1,31
26,2,4,1,32
29,0,5,1,33
27,0,4,1,34
22,1,3,1,35
23,1,3,1,36
24,1,3,1,37
49,0,8,2,0
50,0,8,2,1
47,2,7,2,2
51,0,8,2,3
48,0,7,2,4
44,1,6,2,5
45,0,6,2,6
42,2,5,2,7
46,0,6,2,8
43,0,5,2,9
38,0,4,2,10
24,0,3,2,11
11,1,2,2,12
12,1,2,2,13
13,1,2,2,14
14,1,2,2,15
15,0,2,2,16
2,0,1,2,17
0,2,0,2,18
3,0,1,2,19
1,2,0,2,20
4,1,1,2,21
5,2,1,2,22
16,2,2,2,23
25,1,3,2,24
26,1,3,2,25
27,1,3,2,26
28,0,3,2,26
17,0,2,2,27
6,2,1,2,28
18,0,2,2,29
7,1,1,2,30
8,1,1,2,31
9,2,1,2,32
19,2,2,2,33
29,2,3,2,34
39,0,4,2,35
30,2,3,2,36
40,0,4,2,37
31,1,3,2,38
32,1,3,2,39
33,1,3,2,40
34,2,3,2,41
41,0,4,2,42
35,0,3,2,43
20,1,2,2,44
21,2,2,2,45
36,1,3,2,46
37,0,3,2,47
22,0,2,2,48
10,2,1,2,49
23,2,2,2,50
30,0,8,3,0
31,0,8,3,1
29,0,7,3,2
28,0,6,3,3
27,0,5,3,4
25,0,4,3,5
7,0,3,3,6
0,1,2,3,7
1,1,2,3,8
2,1,2,3,9
3,2,2,3,10
8,2,3,3,11
26,0,4,3,12
9,1,3,3,13
10,1,3,3,14
11,1,3,3,15
12,1,3,3,16
13,1,3,3,17
14,0,3,3,18
4,2,2,3,19
15,1,3,3,20
16,1,3,3,21
17,1,3,3,22
18,1,3,3,23
19,0,3,3,24
5,2,2,3,25
20,0,3,3,26
6,2,2,3,27
21,1,3,3,28
22,1,3,3,29
23,1,3,3,30
24,1,3,3,31
31,0,8,4,0
32,0,8,4,1
30,0,7,4,2
28,1,6,4,3
29,0,6,4,4
27,0,5,4,5
26,0,4,4,6
11,1,3,4,7
12,1,3,4,8
13,1,3,4,9
14,1,3,4,10
15,1,3,4,11
16,1,3,4,12
17,1,3,4,13
18,0,3,4,14
5,1,2,4,15
6,0,2,4,16
2,0,1,4,17
0,0,0,4,18
1,2,0,4,19
3,1,1,4,20
4,2,1,4,21
7,1,2,4,22
8,2,2,4,23
19,1,3,4,24
20,1,3,4,25
21,1,3,4,26
22,1,3,4,27
23,1,3,4,28
24,0,3,4,29
9,1,2,4,30
10,2,2,4,31
25,1,3,4,32
28,0,8,5,0
29,2,8,5,1
33,0,9,5,2
30,0,8,5,3
25,2,7,5,4
31,1,8,5,5
32,0,8,5,6
26,0,7,5,7
22,1,6,5,8
23,2,6,5,9
27,0,7,5,10
24,0,6,5,11
21,0,5,5,12
20,0,4,5,13
4,0,3,5,14
0,1,2,5,15
1,2,2,5,16
5,0,3,5,17
2,1,2,5,18
3,2,2,5,19
6,1,3,5,20
7,1,3,5,21
8,0,3,5,22
9,1,3,5,22
10,1,3,5,23
11,1,3,5,24
12,1,3,5,25
13,1,3,5,26
14,1,3,5,27
15,1,3,5,28
16,1,3,5,29
17,1,3,5,30
18,1,3,5,31
19,1,3,5,32
43,0,8,6,0
44,0,8,6,1
40,2,7,6,2
45,2,8,6,3
47,2,9,6,4
49,1,10,6,5
50,1,10,6,6
51,0,10,6,7
48,0,9,6,8
46,0,8,6,9
41,0,7,6,10
34,2,6,6,11
42,0,7,6,12
35,0,6,6,13
29,2,5,6,14
36,1,6,6,15
37,0,6,6,16
30,2,5,6,17
38,1,6,6,18
39,0,6,6,19
31,0,5,6,20
22,0,4,6,21
9,0,3,6,22
7,0,2,6,23
4,0,1,6,24
0,1,0,6,25
1,0,0,6,26
2,2,0,6,27
5,0,1,6,28
3,2,0,6,29
6,2,1,6,30
8,2,2,6,31
10,1,3,6,32
11,1,3,6,33
12,1,3,6,34
13,2,3,6,35
23,1,4,6,36
24,0,4,6,37
14,1,3,6,38
15,1,3,6,39
16,1,3,6,40
17,2,3,6,41
25,2,4,6,42
32,0,5,6,43
26,0,4,6,44
18,1,3,6,45
19,2,3,6,46
20,1,3,6,47
27,2,4,6,47
33,0,5,6,48
28,0,4,6,49
21,1,3,6,50
21,0,8,7,0
22,0,8,7,1
19,1,7,7,2
20,0,7,7,3
18,0,6,7,4
17,0,5,7,5
16,0,4,7,6
3,0,3,7,7
1,0,2,7,8
0,2,1,7,9
2,2,2,7,10
4,1,3,7,11
5,1,3,7,12
6,1,3,7,13
7,1,3,7,14
8,1,3,7,15
9,1,3,7,16
10,1,3,7,17
11,1,3,7,18
12,1,3,7,19
13,1,3,7,20
14,1,3,7,21
15,1,3,7,24
23,0,8,8,0
24,0,8,8,1
21,2,7,8,2
25,2,8,8,3
27,0,9,8,4
26,0,8,8,5
22,0,7,8,6
20,0,6,8,7
19,0,5,8,8
16,0,4,8,9
2,1,3,8,10
3,1,3,8,11
4,2,3,8,12
17,1,4,8,13
18,0,4,8,14
5,1,3,8,15
6,1,3,8,16
7,1,3,8,17
8,1,3,8,18
9,1,3,8,19
10,0,3,8,20
0,1,2,8,21
1,2,2,8,22
11,1,3,8,23
12,1,3,8,24
13,1,3,8,24
14,1,3,8,25
15,1,3,8,26
24,0,8,9,0
25,0,8,9,1
22,1,7,9,2
23,0,7,9,3
21,0,6,9,4
20,0,5,9,5
19,0,4,9,6
4,1,3,9,7
5,1,3,9,8
6,1,3,9,9
7,1,3,9,10
8,1,3,9,11
9,0,3,9,12
0,2,2,9,13
10,1,3,9,14
11,1,3,9,15
12,1,3,9,16
13,0,3,9,17
