,actions,states,trial,ts
0,0,8,1,0
1,1,8,1,1
2,0,8,1,2
3,0,7,1,3
4,2,6,1,4
5,1,7,1,5
6,0,7,1,6
7,2,6,1,7
8,0,7,1,8
9,1,6,1,9
10,2,6,1,10
11,0,7,1,11
12,0,6,1,12
13,2,5,1,13
14,0,6,1,14
15,0,5,1,15
16,0,4,1,16
17,1,3,1,17
18,0,3,1,18
19,2,2,1,19
20,1,3,1,20
21,0,3,1,21
22,1,2,1,22
23,2,2,1,23
24,1,3,1,24
25,1,3,1,25
26,1,3,1,26
27,1,3,1,27
28,1,3,1,28
29,0,3,1,29
30,1,2,1,30
31,0,2,1,31
32,0,1,1,32
33,2,0,1,33
34,2,1,1,34
35,1,2,1,35
36,2,2,1,36
37,1,3,1,37
38,0,3,1,38
39,2,2,1,39
40,1,3,1,40
41,0,3,1,41
42,2,2,1,42
43,1,3,1,43
44,1,3,1,44
45,1,3,1,45
46,2,3,1,46
47,0,4,1,47
48,1,3,1,48
49,1,3,1,49
50,2,3,1,50
51,2,4,1,51
52,0,5,1,52
53,0,4,1,53
54,1,3,1,54
55,1,3,1,55
56,0,3,1,56
57,1,2,1,57
58,2,2,1,58
59,1,3,1,59
60,1,3,1,60
61,2,3,1,61
62,2,4,1,62
63,2,5,1,63
64,0,6,1,64
65,0,5,1,65
66,0,4,1,66
67,2,3,1,67
68,0,4,1,68
69,1,3,1,69
70,1,3,1,70
71,1,3,1,71
72,1,3,1,72
73,1,3,1,73
74,1,3,1,74
75,0,3,1,75
76,2,2,1,76
77,2,3,1,77
78,0,4,1,78
79,2,3,1,79
80,0,4,1,80
81,1,3,1,81
82,1,3,1,82
83,1,3,1,83
84,1,3,1,84
85,1,3,1,85
86,1,3,1,86
87,1,3,1,87
88,1,3,1,88
89,1,3,1,89
90,1,3,1,90
91,0,3,1,91
92,2,2,1,92
93,2,3,1,93
94,1,4,1,94
95,2,4,1,95
96,1,5,1,96
97,2,5,1,97
98,0,6,1,98
99,0,5,1,99
100,0,8,2,0
101,1,8,2,1
102,0,8,2,2
103,0,7,2,3
104,0,6,2,4
105,0,5,2,5
106,0,4,2,6
107,0,3,2,7
108,2,2,2,8
109,1,3,2,9
110,1,3,2,10
111,1,3,2,11
112,1,3,2,12
113,1,3,2,13
114,1,3,2,14
115,2,3,2,15
116,0,4,2,16
117,2,3,2,17
