,actions,states,trial,ts
0,0,8,1,0
1,1,8,1,1
2,0,8,1,2
3,2,7,1,3
4,0,8,1,4
5,0,7,1,5
6,2,6,1,6
7,0,7,1,7
8,0,6,1,8
9,0,5,1,9
10,0,4,1,10
11,2,3,1,11
12,0,4,1,12
13,0,3,1,13
14,2,2,1,14
15,1,3,1,15
16,1,3,1,16
17,1,3,1,17
18,1,3,1,18
19,1,3,1,19
20,1,3,1,20
21,1,3,1,21
22,1,3,1,22
23,0,3,1,23
24,1,2,1,24
25,2,2,1,25
26,1,3,1,26
27,1,3,1,27
28,1,3,1,28
29,1,3,1,29
30,1,3,1,30
31,1,3,1,31
32,1,3,1,32
33,1,3,1,33
34,1,3,1,34
35,0,3,1,35
36,1,2,1,36
37,2,2,1,37
38,1,3,1,38
39,0,3,1,39
40,1,2,1,40
41,2,2,1,41
42,1,3,1,42
43,1,3,1,43
44,1,3,1,44
45,0,3,1,45
46,2,2,1,46
47,1,3,1,47
48,2,3,1,48
49,0,4,1,49
50,1,3,1,50
51,1,3,1,51
52,0,3,1,52
53,2,2,1,53
54,1,3,1,54
55,1,3,1,55
56,0,3,1,56
57,2,2,1,57
58,1,3,1,58
59,1,3,1,59
60,1,3,1,60
61,1,3,1,61
62,1,3,1,62
63,1,3,1,63
64,2,3,1,64
65,1,4,1,65
66,2,4,1,66
67,0,5,1,67
68,0,4,1,68
69,1,3,1,69
70,1,3,1,70
71,0,3,1,71
72,1,2,1,72
73,0,2,1,73
74,2,1,1,74
75,2,2,1,75
76,0,3,1,76
77,2,2,1,77
78,0,3,1,78
79,2,2,1,79
80,2,3,1,80
81,1,4,1,81
82,0,4,1,82
83,1,3,1,83
84,1,3,1,84
85,1,3,1,85
86,1,3,1,86
87,1,3,1,87
88,2,3,1,88
89,0,4,1,89
90,1,3,1,90
91,0,3,1,91
92,2,2,1,92
93,1,3,1,93
94,1,3,1,94
95,1,3,1,95
96,1,3,1,96
97,1,3,1,97
98,0,3,1,98
99,2,2,1,99
100,0,8,2,0
101,2,8,2,1
102,1,9,2,2
103,0,9,2,3
104,0,8,2,4
105,1,7,2,5
106,0,7,2,6
107,2,6,2,7
108,2,7,2,8
109,0,8,2,9
110,0,7,2,10
111,0,6,2,11
112,2,5,2,12
113,0,6,2,13
114,0,5,2,14
115,0,4,2,15
116,1,3,2,16
117,1,3,2,17
