,actions,states,ts
0,2,2,15
1,2,2,17
2,2,2,19
3,2,3,11
4,0,3,14
5,0,3,16
6,0,3,18
7,2,3,20
8,2,3,26
9,2,3,32
10,2,3,34
11,0,4,10
12,1,4,12
13,0,4,13
14,2,4,21
15,0,4,25
16,2,4,27
17,0,4,31
18,0,4,33
19,2,4,35
20,0,5,9
21,1,5,22
22,1,5,23
23,0,5,24
24,2,5,28
25,0,5,30
26,2,5,36
27,2,6,6
28,0,6,8
29,0,6,29
30,2,6,37
31,2,6,40
32,2,6,42
33,0,7,5
34,0,7,7
35,1,7,38
36,0,7,39
37,0,7,41
38,2,7,43
39,0,8,0
40,1,8,1
41,2,8,2
42,0,8,4
43,2,8,44
44,1,8,50
45,0,9,3
46,2,9,45
47,0,9,49
48,2,10,46
49,0,10,48
50,0,11,47
