,actions,states,ts
0,1,2,13
1,1,2,14
2,2,2,15
3,1,2,21
4,1,2,22
5,2,2,23
6,1,2,29
7,1,2,30
8,2,2,31
9,1,2,36
10,1,2,37
11,1,2,38
12,2,2,39
13,1,2,44
14,1,2,45
15,2,2,46
16,0,3,12
17,2,3,16
18,0,3,20
19,2,3,24
20,0,3,28
21,2,3,32
22,0,3,35
23,2,3,40
24,0,3,43
25,1,3,47
26,1,3,47
27,1,3,48
28,1,3,49
29,1,3,50
30,0,4,11
31,1,4,17
32,1,4,18
33,0,4,19
34,2,4,25
35,0,4,27
36,1,4,33
37,0,4,34
38,1,4,41
39,0,4,42
40,0,5,10
41,0,5,26
42,0,6,9
43,2,7,4
44,0,7,8
45,0,8,0
46,2,8,1
47,0,8,3
48,1,8,5
49,1,8,6
50,0,8,7
51,0,9,2
