,Unnamed: 0,er,er_80,er_80c,er_90,er_90c,er_95,er_95c,ts_80,ts_80c,ts_90,ts_90c,ts_95,ts_95c
0,0,0.222222223878,0.238095238805,0.238095238805,0.217391297221,0.217391297221,0.222222223878,0.239999994636,21.0,21.0,23.0,23.0,27.0,25.0
0,0,0.166666671634,0.117647059262,0.142857149243,0.105263158679,0.125,0.166666671634,0.111111111939,17.0,14.0,19.0,16.0,24.0,18.0
0,0,0.173913046718,0.176470592618,0.1875,0.190476194024,0.20000000298,0.173913046718,0.190476194024,17.0,16.0,21.0,20.0,23.0,21.0
1,1,0.307692319155,0.315789461136,0.333333343267,0.333333343267,0.34999999404,0.307692319155,0.333333343267,19.0,18.0,24.0,20.0,26.0,24.0
0,0,0.136363640428,0.125,0.125,0.15000000596,0.157894730568,0.136363640428,0.15000000596,16.0,16.0,20.0,19.0,22.0,20.0
1,1,0.378378391266,0.29411765933,0.29411765933,0.40000000596,0.315789461136,0.378378391266,0.388888895512,17.0,17.0,35.0,19.0,37.0,36.0
0,0,0.20000000298,0.125,0.142857149243,0.217391297221,0.125,0.20000000298,0.157894730568,16.0,14.0,23.0,16.0,25.0,19.0
1,1,0.233333334327,0.269230782986,0.280000001192,0.25,0.25925925374,0.233333334327,0.24137930572,26.0,25.0,28.0,27.0,30.0,29.0
0,0,0.35897436738,0.388888895512,0.40000000596,0.368421047926,0.378378391266,0.35897436738,0.35897436738,36.0,35.0,38.0,37.0,39.0,39.0
0,0,0.214285716414,0.25,0.285714298487,0.230769231915,0.260869562626,0.214285716414,0.239999994636,24.0,21.0,26.0,23.0,28.0,25.0
1,1,0.333333343267,0.346153855324,0.346153855324,0.321428567171,0.321428567171,0.333333343267,0.333333343267,26.0,26.0,28.0,28.0,33.0,33.0
0,0,0.275862067938,0.304347813129,0.280000001192,0.280000001192,0.25925925374,0.25925925374,0.285714298487,23.0,25.0,25.0,27.0,27.0,28.0
1,1,0.35897436738,0.333333343267,0.300000011921,0.314285725355,0.318181812763,0.35897436738,0.305555552244,33.0,20.0,35.0,22.0,39.0,36.0
0,0,0.258064508438,0.260869562626,0.285714298487,0.275862067938,0.260869562626,0.258064508438,0.275862067938,23.0,21.0,29.0,23.0,31.0,29.0
1,1,0.206896558404,0.133333340287,0.133333340287,0.117647059262,0.117647059262,0.214285716414,0.206896558404,15.0,15.0,17.0,17.0,28.0,29.0
0,0,0.409090906382,0.432432442904,0.423076927662,0.418604642153,0.444444447756,0.409090906382,0.421052634716,37.0,26.0,43.0,36.0,44.0,38.0
0,0,0.230769231915,0.25,0.263157904148,0.227272734046,0.25,0.230769231915,0.227272734046,20.0,19.0,22.0,20.0,26.0,22.0
0,0,0.192307695746,0.227272734046,0.142857149243,0.208333328366,0.227272734046,0.192307695746,0.208333328366,22.0,14.0,24.0,22.0,26.0,24.0
1,1,0.444444447756,0.428571432829,0.449999988079,0.391304343939,0.409090906382,0.444444447756,0.391304343939,21.0,20.0,23.0,22.0,27.0,23.0
0,0,0.348837196827,0.378378391266,0.368421047926,0.35897436738,0.34999999404,0.348837196827,0.348837196827,37.0,38.0,39.0,40.0,43.0,43.0
0,0,0.25,0.269230782986,0.277777791023,0.266666680574,0.25,0.25,0.269230782986,26.0,18.0,30.0,20.0,32.0,26.0
1,1,0.269230782986,0.333333343267,0.304347813129,0.304347813129,0.280000001192,0.280000001192,0.269230782986,21.0,23.0,23.0,25.0,25.0,26.0
0,0,0.159999996424,0.157894730568,0.157894730568,0.173913046718,0.173913046718,0.159999996424,0.166666671634,19.0,19.0,23.0,23.0,25.0,24.0
1,1,0.391304343939,0.428571432829,0.457142859697,0.409090906382,0.418604642153,0.391304343939,0.40000000596,42.0,35.0,44.0,43.0,46.0,45.0
0,0,0.333333343267,0.371428579092,0.371428579092,0.351351350546,0.351351350546,0.333333343267,0.333333343267,35.0,35.0,37.0,37.0,39.0,39.0
1,1,0.518518507481,0.523809552193,0.470588237047,0.478260874748,0.473684221506,0.518518507481,0.458333343267,21.0,17.0,23.0,19.0,27.0,24.0
0,0,0.413043469191,0.461538463831,0.441860467196,0.441860467196,0.431818187237,0.422222226858,0.413043469191,39.0,43.0,43.0,44.0,45.0,46.0
0,0,0.20000000298,0.227272734046,0.25,0.208333328366,0.227272734046,0.20000000298,0.208333328366,22.0,20.0,24.0,22.0,25.0,24.0
0,0,0.20000000298,0.238095238805,0.1875,0.217391297221,0.227272734046,0.20000000298,0.208333328366,21.0,16.0,23.0,22.0,25.0,24.0
1,1,0.3125,0.1875,0.1875,0.166666671634,0.166666671634,0.3125,0.217391297221,16.0,16.0,18.0,18.0,32.0,23.0
0,0,0.3125,0.319999992847,0.319999992847,0.296296298504,0.296296298504,0.3125,0.3125,25.0,25.0,27.0,27.0,32.0,32.0
1,1,0.370370358229,0.25,0.25,0.304347813129,0.333333343267,0.370370358229,0.384615391493,16.0,16.0,23.0,24.0,27.0,26.0
0,0,0.25,0.272727280855,0.300000011921,0.269230782986,0.272727280855,0.25,0.280000001192,22.0,20.0,26.0,22.0,28.0,25.0
1,1,0.125,0.166666671634,0.166666671634,0.142857149243,0.142857149243,0.125,0.125,12.0,12.0,14.0,14.0,16.0,16.0
0,0,0.20000000298,0.166666671634,0.1875,0.15000000596,0.166666671634,0.20000000298,0.15000000596,18.0,16.0,20.0,18.0,25.0,20.0
1,1,0.275862067938,0.319999992847,0.315789461136,0.296296298504,0.296296298504,0.275862067938,0.275862067938,25.0,19.0,27.0,27.0,29.0,29.0
0,0,0.192307695746,0.20000000298,0.210526317358,0.208333328366,0.190476194024,0.192307695746,0.208333328366,20.0,19.0,24.0,21.0,26.0,24.0
1,1,0.238095238805,0.29411765933,0.29411765933,0.263157904148,0.263157904148,0.238095238805,0.238095238805,17.0,17.0,19.0,19.0,21.0,21.0
0,0,0.391304343939,0.414634138346,0.425000011921,0.395348846912,0.404761910439,0.391304343939,0.40000000596,41.0,40.0,43.0,42.0,46.0,45.0
0,0,0.095238097012,0.0666666701436,0.0714285746217,0.105263158679,0.0625,0.095238097012,0.105263158679,15.0,14.0,19.0,16.0,21.0,19.0
1,1,0.1875,0.214285716414,0.230769231915,0.20000000298,0.214285716414,0.1875,0.20000000298,28.0,26.0,30.0,28.0,32.0,30.0
0,0,0.130434781313,0.157894730568,0.142857149243,0.142857149243,0.125,0.130434781313,0.157894730568,19.0,14.0,21.0,16.0,23.0,19.0
1,1,0.346153855324,0.409090906382,0.421052634716,0.375,0.428571432829,0.346153855324,0.391304343939,22.0,19.0,24.0,21.0,26.0,23.0
0,0,0.130434781313,0.117647059262,0.133333340287,0.105263158679,0.117647059262,0.130434781313,0.105263158679,17.0,15.0,19.0,17.0,23.0,19.0
1,1,0.190476194024,0.235294118524,0.25,0.210526317358,0.222222223878,0.190476194024,0.20000000298,17.0,16.0,19.0,18.0,21.0,20.0
