,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.16,0.208333333333,0.192307692308,0.185185185185,24.0,26.0,27.0
1,0.25,0.307692307692,0.279069767442,0.285714285714,39.0,43.0,49.0
2,0.26,0.2,0.185185185185,0.172413793103,25.0,27.0,29.0
3,0.38,,,,,,
4,0.33,0.27027027027,0.295454545455,0.311111111111,37.0,44.0,45.0
5,0.28,0.291666666667,0.285714285714,0.264150943396,48.0,49.0,53.0
6,0.32,0.259259259259,0.28125,0.30303030303,27.0,32.0,33.0
7,0.25,0.25,0.233333333333,0.21875,28.0,30.0,32.0
8,0.24,0.224489795918,0.21568627451,0.211538461538,49.0,51.0,52.0
9,0.25,0.258064516129,0.25,0.235294117647,31.0,32.0,34.0
10,0.25,0.297297297297,0.289473684211,0.285714285714,74.0,76.0,77.0
11,0.22,0.142857142857,0.129032258065,0.142857142857,28.0,31.0,35.0
12,0.29,0.297297297297,0.282051282051,0.302325581395,37.0,39.0,43.0
13,0.22,0.217391304348,0.185185185185,0.178571428571,23.0,27.0,28.0
14,0.26,0.318181818182,0.31884057971,0.30985915493,66.0,69.0,71.0
15,0.23,0.242424242424,0.238805970149,0.231884057971,66.0,67.0,69.0
16,0.19,0.244444444444,0.234042553191,0.218181818182,45.0,47.0,55.0
17,0.25,0.256756756757,0.253333333333,0.24358974359,74.0,75.0,78.0
18,0.25,0.295454545455,0.276595744681,0.270833333333,44.0,47.0,48.0
19,0.28,0.235294117647,0.228571428571,0.222222222222,34.0,35.0,36.0
20,0.25,0.2,0.172413793103,0.161290322581,25.0,29.0,31.0
21,0.19,0.206896551724,0.193548387097,0.1875,29.0,31.0,32.0
22,0.26,0.275,0.261904761905,0.266666666667,40.0,42.0,45.0
23,0.23,0.166666666667,0.16,0.178571428571,24.0,25.0,28.0
24,0.24,0.236842105263,0.230769230769,0.238095238095,38.0,39.0,42.0
25,0.17,0.12,0.107142857143,0.1,25.0,28.0,30.0
26,0.23,0.192307692308,0.193548387097,0.212121212121,26.0,31.0,33.0
27,0.29,0.166666666667,0.148148148148,0.178571428571,24.0,27.0,28.0
28,0.31,0.264705882353,0.243243243243,0.292682926829,34.0,37.0,41.0
29,0.34,0.333333333333,0.34,0.333333333333,48.0,50.0,51.0
30,0.29,0.130434782609,0.212121212121,0.205882352941,23.0,33.0,34.0
31,0.28,0.311111111111,0.297872340426,0.285714285714,45.0,47.0,49.0
32,0.28,0.266666666667,0.285714285714,0.31914893617,30.0,35.0,47.0
33,0.33,0.337837837838,0.333333333333,0.328947368421,74.0,75.0,76.0
34,0.28,0.233333333333,0.285714285714,0.304347826087,30.0,42.0,46.0
35,0.22,0.2,0.184210526316,0.179487179487,35.0,38.0,39.0
36,0.26,0.212121212121,0.222222222222,0.276595744681,33.0,36.0,47.0
37,0.28,0.4,0.368421052632,0.35,35.0,38.0,40.0
38,0.23,0.190476190476,0.166666666667,0.16,21.0,24.0,25.0
39,0.33,0.328571428571,0.310810810811,0.306666666667,70.0,74.0,75.0
40,0.2,0.222222222222,0.217391304348,0.207547169811,45.0,46.0,53.0
41,0.26,0.290322580645,0.25,0.243243243243,31.0,36.0,37.0
42,0.28,0.25,0.230769230769,0.243243243243,24.0,26.0,37.0
43,0.27,0.283018867925,0.277777777778,0.280701754386,53.0,54.0,57.0
44,0.22,0.125,0.121951219512,0.116279069767,40.0,41.0,43.0
45,0.22,0.307692307692,0.277777777778,0.263157894737,26.0,36.0,38.0
46,0.23,0.125,0.25641025641,0.25,24.0,39.0,40.0
47,0.33,0.318681318681,0.315217391304,0.31914893617,91.0,92.0,94.0
48,0.27,0.302325581395,0.282608695652,0.276595744681,43.0,46.0,47.0
49,0.23,0.313432835821,0.308823529412,0.295774647887,67.0,68.0,71.0
50,0.2,0.27868852459,0.274193548387,0.265625,61.0,62.0,64.0
51,0.32,0.326530612245,0.32,0.313725490196,49.0,50.0,51.0
52,0.28,0.30303030303,0.289855072464,0.285714285714,66.0,69.0,70.0
53,0.25,0.269230769231,0.264150943396,0.259259259259,52.0,53.0,54.0
54,0.24,0.214285714286,0.193548387097,0.1875,28.0,31.0,32.0
55,0.22,0.266666666667,0.25,0.242424242424,30.0,32.0,33.0
56,0.33,0.333333333333,0.328947368421,0.324675324675,75.0,76.0,77.0
57,0.24,0.208333333333,0.307692307692,0.3,24.0,39.0,40.0
58,0.23,0.25,0.222222222222,0.230769230769,32.0,36.0,39.0
59,0.22,0.263157894737,0.243902439024,0.238095238095,38.0,41.0,42.0
60,0.29,0.277777777778,0.325581395349,0.333333333333,36.0,43.0,45.0
61,0.25,0.25,0.245901639344,0.241935483871,52.0,61.0,62.0
62,0.25,0.269230769231,0.264150943396,0.25,52.0,53.0,56.0
63,0.18,0.16,0.161290322581,0.15625,25.0,31.0,32.0
64,0.2,0.243902439024,0.25,0.239130434783,41.0,44.0,46.0
65,0.22,0.225806451613,0.235294117647,0.228571428571,31.0,34.0,35.0
66,0.28,0.227272727273,0.192307692308,0.185185185185,22.0,26.0,27.0
67,0.29,0.345238095238,0.333333333333,0.329545454545,84.0,87.0,88.0
68,0.29,0.275,0.302325581395,0.304347826087,40.0,43.0,46.0
69,0.29,0.277777777778,0.327272727273,0.321428571429,18.0,55.0,56.0
70,0.21,0.25,0.264705882353,0.257142857143,28.0,34.0,35.0
71,0.22,0.222222222222,0.210526315789,0.205128205128,36.0,38.0,39.0
72,0.3,0.27027027027,0.290909090909,0.293103448276,37.0,55.0,58.0
73,0.31,0.285714285714,0.279069767442,0.272727272727,42.0,43.0,44.0
74,0.16,0.212765957447,0.208333333333,0.204081632653,47.0,48.0,49.0
75,0.28,0.217391304348,0.222222222222,0.225806451613,23.0,27.0,31.0
76,0.33,0.333333333333,0.30303030303,0.285714285714,27.0,33.0,35.0
77,0.28,0.294117647059,0.297297297297,0.333333333333,34.0,37.0,51.0
78,0.27,0.289473684211,0.261904761905,0.279069767442,38.0,42.0,43.0
79,0.3,0.295454545455,0.288888888889,0.285714285714,88.0,90.0,91.0
80,0.29,0.333333333333,0.327272727273,0.321428571429,54.0,55.0,56.0
81,0.3,0.346153846154,0.355263157895,0.350649350649,52.0,76.0,77.0
82,0.2,0.142857142857,0.185185185185,0.206896551724,21.0,27.0,29.0
83,0.22,0.2,0.242424242424,0.276595744681,30.0,33.0,47.0
84,0.3,0.384615384615,0.388888888889,0.366666666667,52.0,54.0,60.0
85,0.26,0.238095238095,0.2,0.222222222222,21.0,25.0,27.0
86,0.28,0.272727272727,0.280701754386,0.275862068966,55.0,57.0,58.0
87,0.18,0.0869565217391,0.0740740740741,0.0714285714286,23.0,27.0,28.0
88,0.3,0.325581395349,0.301587301587,0.292307692308,43.0,63.0,65.0
89,0.24,0.222222222222,0.28125,0.277777777778,27.0,32.0,36.0
90,0.24,0.166666666667,0.161290322581,0.15625,24.0,31.0,32.0
91,0.28,0.157894736842,0.318181818182,0.311111111111,19.0,44.0,45.0
92,0.24,0.3,0.301886792453,0.296296296296,50.0,53.0,54.0
93,0.29,0.339285714286,0.333333333333,0.322033898305,56.0,57.0,59.0
94,0.23,0.16,0.21875,0.242424242424,25.0,32.0,33.0
95,0.15,0.166666666667,0.162162162162,0.153846153846,36.0,37.0,39.0
96,0.24,0.179487179487,0.2,0.204545454545,39.0,40.0,44.0
97,0.3,0.230769230769,0.238095238095,0.25,39.0,42.0,48.0
98,0.25,0.15,0.153846153846,0.178571428571,20.0,26.0,28.0
99,0.25,0.3125,0.289473684211,0.292682926829,32.0,38.0,41.0
100,0.22,0.227272727273,0.222222222222,0.217391304348,44.0,45.0,46.0
101,0.25,0.227272727273,0.230769230769,0.233333333333,22.0,26.0,30.0
102,0.21,0.173913043478,0.148148148148,0.1875,23.0,27.0,32.0
103,0.28,0.4,0.365853658537,0.340909090909,35.0,41.0,44.0
104,0.23,0.2,0.181818181818,0.176470588235,30.0,33.0,34.0
105,0.31,0.315789473684,0.292682926829,0.309523809524,38.0,41.0,42.0
106,0.26,0.2,0.305555555556,0.297297297297,25.0,36.0,37.0
107,0.19,0.342857142857,0.315789473684,0.3,35.0,38.0,40.0
108,0.23,0.243243243243,0.24,0.236842105263,74.0,75.0,76.0
109,0.18,0.227272727273,0.222222222222,0.217391304348,44.0,45.0,46.0
110,0.33,0.329787234043,0.326315789474,,94.0,95.0,
111,0.28,0.297297297297,0.279069767442,0.288888888889,37.0,43.0,45.0
112,0.21,0.166666666667,0.172413793103,0.166666666667,24.0,29.0,30.0
113,0.31,0.282608695652,0.298245614035,0.322033898305,46.0,57.0,59.0
114,0.32,0.325842696629,0.32967032967,0.326086956522,89.0,91.0,92.0
115,0.2,0.171428571429,0.219512195122,0.214285714286,35.0,41.0,42.0
116,0.31,0.181818181818,0.16,0.178571428571,22.0,25.0,28.0
117,0.32,0.227272727273,0.345238095238,0.348837209302,22.0,84.0,86.0
118,0.23,0.258064516129,0.236842105263,0.230769230769,31.0,38.0,39.0
119,0.25,0.277777777778,0.227272727273,0.192307692308,18.0,22.0,26.0
120,0.25,0.264150943396,0.259259259259,0.25,53.0,54.0,56.0
121,0.18,0.170731707317,0.166666666667,0.162790697674,41.0,42.0,43.0
122,0.21,0.222222222222,0.230769230769,0.243902439024,27.0,39.0,41.0
123,0.26,0.255813953488,0.260869565217,0.270833333333,43.0,46.0,48.0
124,0.21,0.25,0.233333333333,0.205882352941,28.0,30.0,34.0
125,0.26,0.287878787879,0.285714285714,0.281690140845,66.0,70.0,71.0
126,0.34,0.311475409836,0.328767123288,0.358695652174,61.0,73.0,92.0
127,0.22,0.266666666667,0.25,0.243243243243,30.0,36.0,37.0
128,0.33,0.337662337662,0.341772151899,0.3375,77.0,79.0,80.0
129,0.22,0.0434782608696,0.111111111111,0.103448275862,23.0,27.0,29.0
130,0.29,0.298245614035,0.28813559322,0.283333333333,57.0,59.0,60.0
131,0.3,0.264705882353,0.338709677419,0.333333333333,34.0,62.0,63.0
132,0.27,0.219512195122,0.222222222222,0.212765957447,41.0,45.0,47.0
133,0.26,0.283018867925,0.285714285714,0.280701754386,53.0,56.0,57.0
134,0.32,0.342105263158,0.337662337662,0.3375,76.0,77.0,80.0
135,0.31,0.294117647059,0.283018867925,0.303571428571,51.0,53.0,56.0
136,0.25,0.260869565217,0.25,0.225806451613,23.0,28.0,31.0
137,0.25,0.302325581395,0.295454545455,0.333333333333,43.0,44.0,51.0
138,0.32,0.208333333333,0.322033898305,0.311475409836,24.0,59.0,61.0
139,0.32,0.315789473684,0.325581395349,0.326086956522,38.0,43.0,46.0
140,0.24,0.309523809524,0.302325581395,0.295454545455,42.0,43.0,44.0
141,0.22,0.25,0.25,0.233333333333,24.0,28.0,30.0
142,0.21,0.0625,0.0526315789474,0.05,16.0,19.0,20.0
143,0.31,0.328125,0.34328358209,0.338235294118,64.0,67.0,68.0
144,0.23,0.166666666667,0.235294117647,0.222222222222,24.0,34.0,36.0
145,0.33,0.337209302326,0.333333333333,0.329787234043,86.0,93.0,94.0
146,0.29,0.344827586207,0.3125,0.305555555556,29.0,32.0,36.0
147,0.3,0.353846153846,0.342857142857,0.338028169014,65.0,70.0,71.0
148,0.28,0.285714285714,0.295774647887,0.291666666667,63.0,71.0,72.0
149,0.35,0.333333333333,0.315789473684,0.369863013699,36.0,38.0,73.0
150,0.35,0.365079365079,0.353846153846,0.34328358209,63.0,65.0,67.0
151,0.25,0.288461538462,0.277777777778,0.267857142857,52.0,54.0,56.0
152,0.32,0.341772151899,0.3375,0.340909090909,79.0,80.0,88.0
153,0.31,0.255319148936,0.25,0.235294117647,47.0,48.0,51.0
154,0.33,0.348837209302,0.340909090909,0.31914893617,43.0,44.0,47.0
155,0.22,0.294117647059,0.282051282051,0.275,34.0,39.0,40.0
156,0.26,0.31914893617,0.30612244898,0.294117647059,47.0,49.0,51.0
157,0.21,0.296296296296,0.290322580645,0.28125,27.0,31.0,32.0
158,0.23,0.313725490196,0.307692307692,0.290909090909,51.0,52.0,55.0
159,0.22,0.2,0.172413793103,0.166666666667,20.0,29.0,30.0
160,0.31,0.282608695652,0.276595744681,0.265306122449,46.0,47.0,49.0
161,0.27,0.27027027027,0.275,0.272727272727,37.0,40.0,44.0
162,0.26,0.257142857143,0.283018867925,0.277777777778,35.0,53.0,54.0
163,0.28,0.31914893617,0.3125,0.294117647059,47.0,48.0,51.0
164,0.15,0.16,0.137931034483,0.161290322581,25.0,29.0,31.0
165,0.2,0.266666666667,0.242424242424,0.235294117647,30.0,33.0,34.0
166,0.24,0.225806451613,0.235294117647,0.243902439024,31.0,34.0,41.0
167,0.33,0.344444444444,0.34375,0.340206185567,90.0,96.0,97.0
168,0.33,0.344086021505,0.340425531915,0.34375,93.0,94.0,96.0
169,0.23,0.125,0.136363636364,0.130434782609,16.0,22.0,23.0
170,0.28,0.296296296296,0.290909090909,0.293103448276,54.0,55.0,58.0
171,0.24,0.259259259259,0.268292682927,0.255813953488,27.0,41.0,43.0
172,0.2,0.324324324324,0.317073170732,0.309523809524,37.0,41.0,42.0
173,0.24,0.266666666667,0.276595744681,0.291666666667,30.0,47.0,48.0
174,0.21,0.125,0.137931034483,0.133333333333,24.0,29.0,30.0
175,0.22,0.282051282051,0.261904761905,0.255813953488,39.0,42.0,43.0
176,0.26,0.230769230769,0.270833333333,0.265306122449,26.0,48.0,49.0
177,0.28,0.279069767442,0.266666666667,0.260869565217,43.0,45.0,46.0
178,0.35,0.3,0.272727272727,0.309523809524,30.0,33.0,42.0
179,0.25,0.2,0.173913043478,0.166666666667,20.0,23.0,24.0
180,0.26,0.217391304348,0.214285714286,0.288461538462,23.0,28.0,52.0
181,0.26,0.282051282051,0.268292682927,0.266666666667,39.0,41.0,45.0
182,0.28,0.166666666667,0.235294117647,0.228571428571,18.0,34.0,35.0
183,0.23,0.228571428571,0.296296296296,0.293103448276,35.0,54.0,58.0
184,0.28,0.260869565217,0.230769230769,0.25,23.0,26.0,32.0
185,0.39,0.35593220339,0.35,0.354838709677,59.0,60.0,62.0
186,0.12,0.1,0.0952380952381,0.166666666667,20.0,21.0,24.0
187,0.16,0.166666666667,0.178571428571,0.166666666667,24.0,28.0,30.0
188,0.28,0.287671232877,0.283783783784,0.276315789474,73.0,74.0,76.0
189,0.23,0.222222222222,0.25641025641,0.255319148936,36.0,39.0,47.0
190,0.34,0.35,0.345679012346,0.341463414634,80.0,81.0,82.0
191,0.29,0.238095238095,0.227272727273,0.25,21.0,22.0,24.0
192,0.24,0.311475409836,0.307692307692,0.30303030303,61.0,65.0,66.0
193,0.26,0.291666666667,0.3,0.290322580645,24.0,30.0,31.0
194,0.23,0.254545454545,0.25,0.245614035088,55.0,56.0,57.0
195,0.27,0.217391304348,0.24,0.230769230769,23.0,25.0,26.0
196,0.3,0.297872340426,0.3,0.30985915493,47.0,50.0,71.0
197,0.17,0.2,0.172413793103,0.166666666667,25.0,29.0,30.0
198,0.21,0.270833333333,0.254901960784,0.25,48.0,51.0,52.0
199,0.24,0.212765957447,0.208333333333,0.204081632653,47.0,48.0,49.0
200,0.26,0.272727272727,0.260869565217,0.21875,22.0,23.0,32.0
201,0.3,0.395348837209,0.408163265306,0.4,43.0,49.0,50.0
202,0.26,0.24,0.240740740741,0.254545454545,50.0,54.0,55.0
203,0.24,0.157894736842,0.130434782609,0.125,19.0,23.0,24.0
204,0.31,,,,,,
205,0.27,0.272727272727,0.293103448276,0.283333333333,44.0,58.0,60.0
206,0.22,0.24,0.243243243243,0.236842105263,25.0,37.0,38.0
207,0.27,0.264705882353,0.236842105263,0.230769230769,34.0,38.0,39.0
208,0.34,0.35593220339,0.344262295082,0.338235294118,59.0,61.0,68.0
209,0.24,0.225806451613,0.296296296296,0.293103448276,31.0,54.0,58.0
210,0.25,0.32,0.314814814815,0.298245614035,50.0,54.0,57.0
211,0.3,0.301075268817,0.305263157895,0.302083333333,93.0,95.0,96.0
212,0.2,0.22,0.211538461538,0.203703703704,50.0,52.0,54.0
213,0.24,0.28125,0.263157894737,0.25,32.0,38.0,40.0
214,0.23,0.136363636364,0.12,0.115384615385,22.0,25.0,26.0
215,0.34,0.350515463918,0.34693877551,0.343434343434,97.0,98.0,99.0
216,0.24,0.28813559322,0.283333333333,0.285714285714,59.0,60.0,63.0
217,0.24,0.314285714286,0.333333333333,0.3125,35.0,39.0,48.0
218,0.26,0.303571428571,0.298245614035,0.28813559322,56.0,57.0,59.0
219,0.27,0.263157894737,0.2625,0.256097560976,76.0,80.0,82.0
220,0.19,0.136363636364,0.115384615385,0.111111111111,22.0,26.0,27.0
221,0.27,0.254237288136,0.264705882353,0.257142857143,59.0,68.0,70.0
222,0.19,0.222222222222,0.233333333333,0.263157894737,27.0,30.0,38.0
223,0.26,0.219512195122,0.214285714286,0.222222222222,41.0,42.0,45.0
224,0.18,0.2,0.181818181818,0.171428571429,30.0,33.0,35.0
225,0.26,0.2,0.1875,0.176470588235,30.0,32.0,34.0
226,0.29,0.260869565217,0.255319148936,0.25,46.0,47.0,48.0
227,0.27,0.0909090909091,0.125,0.147058823529,22.0,32.0,34.0
228,0.29,0.266666666667,0.263157894737,0.2625,75.0,76.0,80.0
229,0.23,0.28,0.289473684211,0.3,25.0,38.0,40.0
