,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.243902439024,0.25641025641,0.25,0.243902439024,39,40,41
1,0.313432835821,0.323076923077,0.318181818182,0.313432835821,65,66,67
2,0.269230769231,0.318181818182,0.304347826087,0.269230769231,22,23,26
3,0.295454545455,0.3,0.309523809524,0.295454545455,40,42,44
4,0.314285714286,0.34375,0.323529411765,0.314285714286,32,34,35
5,0.318181818182,0.322580645161,0.31746031746,0.318181818182,62,63,66
6,0.36,0.369863013699,0.364864864865,0.36,73,74,75
7,0.364197530864,0.366013071895,0.363636363636,0.364197530864,153,154,162
8,0.382222222222,0.383561643836,0.382882882883,0.382222222222,219,222,225
9,0.341463414634,0.342105263158,0.333333333333,0.341463414634,38,39,41
10,0.333333333333,0.342105263158,0.337662337662,0.333333333333,76,77,78
11,0.330434782609,0.336283185841,0.333333333333,0.330434782609,113,114,115
12,0.311475409836,0.322033898305,0.316666666667,0.311475409836,59,60,61
13,0.363636363636,0.373831775701,0.37037037037,0.363636363636,107,108,110
14,0.306451612903,0.291666666667,0.285714285714,0.306451612903,48,49,62
15,0.301587301587,0.28813559322,0.3,0.301587301587,59,60,63
16,0.297872340426,0.311111111111,0.304347826087,0.297872340426,45,46,47
17,0.3,0.315789473684,0.307692307692,0.3,38,39,40
18,0.148148148148,0.166666666667,0.16,0.148148148148,24,25,27
19,0.348484848485,0.349206349206,0.34375,0.348484848485,63,64,66
20,0.290909090909,0.26,0.274509803922,0.290909090909,50,51,55
21,0.366336633663,0.373737373737,0.37,0.366336633663,99,100,101
22,0.153846153846,0.173913043478,0.166666666667,0.153846153846,23,24,26
23,0.236842105263,0.25,0.243243243243,0.236842105263,36,37,38
24,0.346774193548,0.355371900826,0.349593495935,0.346774193548,121,123,124
25,0.136363636364,0.0625,0.142857142857,0.136363636364,16,21,22
26,0.25,0.285714285714,0.260869565217,0.25,21,23,24
27,0.390909090909,0.291666666667,0.321428571429,0.390909090909,24,28,110
28,0.305555555556,0.323529411765,0.314285714286,0.305555555556,34,35,36
29,0.25,0.238095238095,0.217391304348,0.25,21,23,24
30,0.3375,0.333333333333,0.328767123288,0.3375,72,73,80
31,0.117647058824,0.125,0.121212121212,0.117647058824,32,33,34
32,0.3125,0.302631578947,0.311688311688,0.3125,76,77,80
33,0.329787234043,0.329545454545,0.325842696629,0.329787234043,88,89,94
34,0.190476190476,0.117647058824,0.105263157895,0.190476190476,17,19,21
35,0.264705882353,0.28125,0.272727272727,0.264705882353,32,33,34
36,0.346153846154,0.342105263158,0.350649350649,0.346153846154,76,77,78
37,0.327868852459,0.275,0.338983050847,0.327868852459,40,59,61
38,0.355555555556,0.380952380952,0.363636363636,0.355555555556,42,44,45
39,0.25,0.25,0.230769230769,0.25,24,26,28
40,0.272727272727,0.268292682927,0.279069767442,0.272727272727,41,43,44
41,0.258064516129,0.24,0.285714285714,0.258064516129,25,28,31
42,0.302631578947,0.310810810811,0.306666666667,0.302631578947,74,75,76
43,0.314285714286,0.308823529412,0.304347826087,0.314285714286,68,69,70
44,0.294117647059,0.285714285714,0.28,0.294117647059,49,50,51
45,0.222222222222,0.25,0.24,0.222222222222,24,25,27
46,0.318181818182,0.3125,0.323076923077,0.318181818182,64,65,66
47,0.370689655172,0.369369369369,0.368421052632,0.370689655172,111,114,116
48,0.222222222222,0.190476190476,0.24,0.222222222222,21,25,27
49,0.320512820513,0.310344827586,0.305084745763,0.320512820513,58,59,78
50,0.2,0.178571428571,0.172413793103,0.2,28,29,30
51,0.303571428571,0.301886792453,0.309090909091,0.303571428571,53,55,56
52,0.290322580645,0.285714285714,0.289256198347,0.290322580645,119,121,124
53,0.309523809524,0.317073170732,0.313253012048,0.309523809524,82,83,84
54,0.178571428571,0.153846153846,0.185185185185,0.178571428571,26,27,28
55,0.321428571429,0.333333333333,0.327272727273,0.321428571429,54,55,56
56,0.325203252033,0.325,0.327868852459,0.325203252033,120,122,123
57,0.264705882353,0.28125,0.272727272727,0.264705882353,32,33,34
58,0.3125,0.322580645161,0.31746031746,0.3125,62,63,64
59,0.35761589404,0.362416107383,0.36,0.35761589404,149,150,151
60,0.3,0.260869565217,0.275862068966,0.3,23,29,30
61,0.358208955224,0.285714285714,0.360902255639,0.358208955224,21,133,134
62,0.34693877551,0.36170212766,0.354166666667,0.34693877551,47,48,49
63,0.222222222222,0.235294117647,0.228571428571,0.222222222222,34,35,36
64,0.257142857143,0.25,0.246376811594,0.257142857143,68,69,70
65,0.318181818182,0.338709677419,0.333333333333,0.318181818182,62,63,66
66,0.383458646617,0.379032258065,0.386363636364,0.383458646617,124,132,133
67,0.378378378378,0.369565217391,0.36690647482,0.378378378378,138,139,148
68,0.27027027027,0.274193548387,0.277777777778,0.27027027027,62,72,74
69,0.178571428571,0.192307692308,0.185185185185,0.178571428571,26,27,28
70,0.257575757576,0.269841269841,0.265625,0.257575757576,63,64,66
71,0.222222222222,0.24,0.230769230769,0.222222222222,25,26,27
72,0.295454545455,0.32,0.302325581395,0.295454545455,25,43,44
73,0.310344827586,0.317647058824,0.313953488372,0.310344827586,85,86,87
74,0.192307692308,0.227272727273,0.2,0.192307692308,22,25,26
75,0.136363636364,0.105263157895,0.0952380952381,0.136363636364,19,21,22
76,0.38961038961,0.385714285714,0.394736842105,0.38961038961,70,76,77
77,0.314285714286,0.307692307692,0.296296296296,0.314285714286,26,27,35
78,0.40350877193,0.418181818182,0.410714285714,0.40350877193,55,56,57
79,0.241379310345,0.227272727273,0.222222222222,0.241379310345,22,27,29
80,0.30303030303,0.285714285714,0.3,0.30303030303,28,30,33
81,0.328125,0.321428571429,0.333333333333,0.328125,56,63,64
82,0.2,0.185185185185,0.172413793103,0.2,27,29,30
83,0.238095238095,0.210526315789,0.2,0.238095238095,19,20,21
84,0.294117647059,0.30612244898,0.3,0.294117647059,49,50,51
85,0.361445783133,0.35,0.358024691358,0.361445783133,80,81,83
86,0.318181818182,0.325581395349,0.32183908046,0.318181818182,86,87,88
87,0.125,0.1,0.136363636364,0.125,20,22,24
88,0.380952380952,0.375,0.390243902439,0.380952380952,40,41,42
89,0.263157894737,0.272727272727,0.267857142857,0.263157894737,55,56,57
90,0.266666666667,0.279069767442,0.272727272727,0.266666666667,43,44,45
91,0.279069767442,0.292682926829,0.285714285714,0.279069767442,41,42,43
92,0.30612244898,0.31914893617,0.3125,0.30612244898,47,48,49
93,0.333333333333,0.328125,0.323076923077,0.333333333333,64,65,66
94,0.333333333333,0.333333333333,0.322580645161,0.333333333333,30,31,33
95,0.38418079096,0.385093167702,0.382716049383,0.38418079096,161,162,177
96,0.3125,0.311111111111,0.31914893617,0.3125,45,47,48
97,0.338983050847,0.350877192982,0.344827586207,0.338983050847,57,58,59
98,0.30985915493,0.31884057971,0.314285714286,0.30985915493,69,70,71
99,0.210526315789,0.194444444444,0.216216216216,0.210526315789,36,37,38
100,0.235294117647,0.25,0.244897959184,0.235294117647,48,49,51
101,0.352941176471,0.363636363636,0.358208955224,0.352941176471,66,67,68
102,0.192307692308,0.208333333333,0.2,0.192307692308,24,25,26
103,0.2,0.181818181818,0.208333333333,0.2,22,24,25
104,0.314814814815,0.268292682927,0.279069767442,0.314814814815,41,43,54
105,0.246153846154,0.253968253968,0.25,0.246153846154,63,64,65
106,0.259259259259,0.28,0.274509803922,0.259259259259,50,51,54
107,0.282608695652,0.295454545455,0.288888888889,0.282608695652,44,45,46
108,0.285714285714,0.283582089552,0.279411764706,0.285714285714,67,68,70
109,0.3125,0.333333333333,0.322580645161,0.3125,30,31,32
110,0.339622641509,0.352941176471,0.346153846154,0.339622641509,51,52,53
111,0.341772151899,0.324675324675,0.333333333333,0.341772151899,77,78,79
112,0.366336633663,0.364583333333,0.367346938776,0.366336633663,96,98,101
113,0.362637362637,0.352272727273,0.348314606742,0.362637362637,88,89,91
114,0.32,0.333333333333,0.326530612245,0.32,48,49,50
115,0.290322580645,0.293103448276,0.28813559322,0.290322580645,58,59,62
116,0.229166666667,0.239130434783,0.234042553191,0.229166666667,46,47,48
117,0.348214285714,0.357798165138,0.354545454545,0.348214285714,109,110,112
118,0.166666666667,0.178571428571,0.172413793103,0.166666666667,28,29,30
119,0.25,0.240740740741,0.254545454545,0.25,54,55,56
120,0.336956521739,0.337078651685,0.333333333333,0.336956521739,89,90,92
121,0.315068493151,0.304347826087,0.3,0.315068493151,69,70,73
122,0.279069767442,0.3,0.292682926829,0.279069767442,40,41,43
123,0.25,0.238095238095,0.260869565217,0.25,21,23,24
