,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.257142857143,0.272727272727,0.264705882353,0.257142857143,33,34,35
1,0.272727272727,0.142857142857,0.181818181818,0.272727272727,21,22,44
2,0.298245614035,0.285714285714,0.279069767442,0.298245614035,42,43,57
3,0.373626373626,0.379310344828,0.377777777778,0.373626373626,87,90,91
4,0.310344827586,0.326923076923,0.320754716981,0.310344827586,52,53,58
5,0.34328358209,0.353846153846,0.348484848485,0.34328358209,65,66,67
6,0.258064516129,0.230769230769,0.241379310345,0.258064516129,26,29,31
7,0.333333333333,0.363636363636,0.352941176471,0.333333333333,33,34,36
8,0.368421052632,0.376146788991,0.375,0.368421052632,109,112,114
9,0.320512820513,0.338235294118,0.328947368421,0.320512820513,68,76,78
10,0.282051282051,0.264705882353,0.285714285714,0.282051282051,34,35,39
11,0.292682926829,0.314285714286,0.297297297297,0.292682926829,35,37,41
12,0.258064516129,0.259259259259,0.266666666667,0.258064516129,27,30,31
13,0.206896551724,0.176470588235,0.130434782609,0.206896551724,17,23,29
14,0.166666666667,0.2,0.181818181818,0.166666666667,20,22,24
15,0.222222222222,0.25,0.230769230769,0.222222222222,24,26,27
16,0.323943661972,0.333333333333,0.328358208955,0.323943661972,66,67,71
17,0.275,0.25,0.282051282051,0.275,28,39,40
18,0.372093023256,0.384615384615,0.376470588235,0.372093023256,78,85,86
19,0.328125,0.339285714286,0.322033898305,0.328125,56,59,64
20,0.214285714286,0.25,0.222222222222,0.214285714286,24,27,28
21,0.275,0.272727272727,0.257142857143,0.275,33,35,40
22,0.349206349206,0.360655737705,0.354838709677,0.349206349206,61,62,63
23,0.328947368421,0.342465753425,0.337837837838,0.328947368421,73,74,76
24,0.320754716981,0.241379310345,0.242424242424,0.320754716981,29,33,53
25,0.344827586207,0.230769230769,0.350877192982,0.344827586207,26,57,58
26,0.36231884058,0.378787878788,0.373134328358,0.36231884058,66,67,69
27,0.153846153846,0.105263157895,0.16,0.153846153846,19,25,26
28,0.307692307692,0.31746031746,0.3125,0.307692307692,63,64,65
29,0.338235294118,0.288461538462,0.301886792453,0.338235294118,52,53,68
30,0.333333333333,0.339622641509,0.333333333333,0.333333333333,53,54,60
31,0.28,0.276595744681,0.270833333333,0.28,47,48,50
32,0.264705882353,0.24,0.272727272727,0.264705882353,25,33,34
33,0.0909090909091,0.0666666666667,0.0952380952381,0.0909090909091,15,21,22
34,0.125,0.15,0.130434782609,0.125,20,23,24
35,0.275,0.217391304348,0.282051282051,0.275,23,39,40
36,0.333333333333,0.351851851852,0.345454545455,0.333333333333,54,55,57
37,0.364864864865,0.375,0.369863013699,0.364864864865,64,73,74
38,0.318181818182,0.333333333333,0.328125,0.318181818182,63,64,66
39,0.338235294118,0.348484848485,0.34328358209,0.338235294118,66,67,68
40,0.311475409836,0.25641025641,0.316666666667,0.311475409836,39,60,61
41,0.365714285714,0.37125748503,0.367816091954,0.365714285714,167,174,175
42,0.25,0.25641025641,0.238095238095,0.25,39,42,44
43,0.333333333333,0.326086956522,0.31914893617,0.333333333333,46,47,48
44,0.354166666667,0.377777777778,0.36170212766,0.354166666667,45,47,48
45,0.285714285714,0.28813559322,0.283333333333,0.285714285714,59,60,63
46,0.242424242424,0.275862068966,0.258064516129,0.242424242424,29,31,33
47,0.238095238095,0.25,0.241935483871,0.238095238095,60,62,63
48,0.192307692308,0.157894736842,0.142857142857,0.192307692308,19,21,26
49,0.282051282051,0.289473684211,0.285714285714,0.282051282051,76,77,78
50,0.310344827586,0.294117647059,0.288461538462,0.310344827586,51,52,58
51,0.236842105263,0.25,0.243243243243,0.236842105263,36,37,38
52,0.367346938776,0.384615384615,0.371134020619,0.367346938776,65,97,98
53,0.328571428571,0.338235294118,0.333333333333,0.328571428571,68,69,70
54,0.285714285714,0.275862068966,0.272727272727,0.285714285714,29,33,35
55,0.3125,0.304347826087,0.297872340426,0.3125,46,47,48
56,0.342592592593,0.333333333333,0.339805825243,0.342592592593,102,103,108
57,0.338983050847,0.340425531915,0.333333333333,0.338983050847,47,57,59
58,0.388888888889,0.406976744186,0.402298850575,0.388888888889,86,87,90
59,0.359375,0.383333333333,0.365079365079,0.359375,60,63,64
60,0.25,0.291666666667,0.269230769231,0.25,24,26,28
61,0.24,0.25,0.25,0.24,20,24,25
62,0.193548387097,0.185185185185,0.2,0.193548387097,27,30,31
63,0.318181818182,0.333333333333,0.328125,0.318181818182,63,64,66
64,0.36231884058,0.357142857143,0.350877192982,0.36231884058,56,57,69
65,0.311475409836,0.322033898305,0.316666666667,0.311475409836,59,60,61
66,0.315789473684,0.333333333333,0.321428571429,0.315789473684,51,56,57
67,0.34693877551,0.361111111111,0.354166666667,0.34693877551,36,48,49
68,0.235294117647,0.24,0.242424242424,0.235294117647,25,33,34
69,0.242424242424,0.241379310345,0.25,0.242424242424,29,32,33
70,0.291666666667,0.292682926829,0.285714285714,0.291666666667,41,42,48
71,0.26,0.136363636364,0.125,0.26,22,24,50
72,0.282608695652,0.285714285714,0.288888888889,0.282608695652,42,45,46
73,0.261904761905,0.28125,0.275,0.261904761905,32,40,42
74,0.166666666667,0.2,0.173913043478,0.166666666667,20,23,24
75,0.347826086957,0.358208955224,0.352941176471,0.347826086957,67,68,69
76,0.277777777778,0.28125,0.272727272727,0.277777777778,32,33,36
77,0.327272727273,0.238095238095,0.339622641509,0.327272727273,21,53,55
78,0.285714285714,0.275862068966,0.258064516129,0.285714285714,29,31,35
79,0.357142857143,0.371794871795,0.367088607595,0.357142857143,78,79,84
80,0.192307692308,0.181818181818,0.2,0.192307692308,22,25,26
