,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.326530612245,0.355555555556,0.333333333333,0.326530612245,45,48,49
1,0.333333333333,0.338028169014,0.333333333333,0.333333333333,71,72,75
2,0.310344827586,0.285714285714,0.282608695652,0.310344827586,42,46,58
3,0.327586206897,0.340425531915,0.333333333333,0.327586206897,47,54,58
4,0.338709677419,0.35593220339,0.35,0.338709677419,59,60,62
5,0.205882352941,0.230769230769,0.214285714286,0.205882352941,26,28,34
6,0.366013071895,0.363636363636,0.368421052632,0.366013071895,143,152,153
7,0.370967741935,0.308823529412,0.36036036036,0.370967741935,68,111,124
8,0.365079365079,0.389830508475,0.370967741935,0.365079365079,59,62,63
9,0.25,0.25,0.257142857143,0.25,28,35,36
10,0.153846153846,0.142857142857,0.16,0.153846153846,21,25,26
11,0.28,0.285714285714,0.291666666667,0.28,42,48,50
12,0.352941176471,0.297297297297,0.338983050847,0.352941176471,37,59,68
13,0.176470588235,0.185185185185,0.181818181818,0.176470588235,27,33,34
14,0.233333333333,0.24,0.241379310345,0.233333333333,25,29,30
15,0.314814814815,0.289473684211,0.279069767442,0.314814814815,38,43,54
16,0.25,0.258064516129,0.242424242424,0.25,31,33,36
17,0.279069767442,0.307692307692,0.285714285714,0.279069767442,39,42,43
18,0.321428571429,0.282051282051,0.297872340426,0.321428571429,39,47,56
19,0.214285714286,0.190476190476,0.222222222222,0.214285714286,21,27,28
20,0.342592592593,0.346534653465,0.346153846154,0.342592592593,101,104,108
21,0.222222222222,0.25,0.228571428571,0.222222222222,32,35,36
22,0.357798165138,0.362745098039,0.355140186916,0.357798165138,102,107,109
23,0.328571428571,0.333333333333,0.328358208955,0.328571428571,66,67,70
24,0.275,0.266666666667,0.257142857143,0.275,30,35,40
25,0.353448275862,0.359649122807,0.35652173913,0.353448275862,114,115,116
26,0.339285714286,0.324324324324,0.307692307692,0.339285714286,37,39,56
27,0.21875,0.222222222222,0.225806451613,0.21875,27,31,32
28,0.377777777778,0.390804597701,0.386363636364,0.377777777778,87,88,90
29,0.326530612245,0.357142857143,0.340425531915,0.326530612245,42,47,49
30,0.357142857143,0.34,0.36231884058,0.357142857143,50,69,70
31,0.266666666667,0.279069767442,0.272727272727,0.266666666667,43,44,45
32,0.342105263158,0.290322580645,0.272727272727,0.342105263158,31,33,76
33,0.295454545455,0.314285714286,0.309523809524,0.295454545455,35,42,44
34,0.375,0.384615384615,0.379746835443,0.375,78,79,80
35,0.357142857143,0.27027027027,0.344827586207,0.357142857143,37,58,70
36,0.348484848485,0.351851851852,0.359375,0.348484848485,54,64,66
37,0.327586206897,0.326530612245,0.326923076923,0.327586206897,49,52,58
38,0.260869565217,0.275,0.272727272727,0.260869565217,40,44,46
39,0.375,0.366666666667,0.378947368421,0.375,60,95,96
40,0.255813953488,0.25,0.261904761905,0.255813953488,32,42,43
41,0.25,0.190476190476,0.173913043478,0.25,21,23,32
42,0.339622641509,0.352941176471,0.342857142857,0.339622641509,102,105,106
43,0.0526315789474,0.0666666666667,0.0588235294118,0.0526315789474,15,17,19
44,0.345454545455,0.349514563107,0.346153846154,0.345454545455,103,104,110
45,0.282608695652,0.295454545455,0.288888888889,0.282608695652,44,45,46
46,0.3,0.326086956522,0.3125,0.3,46,48,50
47,0.212121212121,0.222222222222,0.2,0.212121212121,27,30,33
48,0.375,0.382352941176,0.378640776699,0.375,102,103,104
49,0.350649350649,0.356164383562,0.351351351351,0.350649350649,73,74,77
